text,emotion
I just got my dream job! I can't believe it! This is amazing!,positive
"Today was a terrible day, everything seemed to go against me.",negative
The way he talked to me is unacceptable. I'm so angry.,negative
The strange noise at midnight kept me awake out of fear.,negative
I was completely surprised to see her at the party.,positive
"The weather is quite nice today, nothing special happened.",neutral
"Finally, the month-long project is complete. What a relief!",positive
I really miss home and feel lonely being here by myself.,negative
Why do I always have to take responsibility for other people's mistakes?!,negative
That horror movie was truly haunting. I still feel scared.,negative
The test results were much better than I expected. That's incredible!,positive
I need to buy some groceries for dinner tonight.,neutral
